localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
null,499.39,29920,null,null,,,,,,,,,,
136.6297946,null,29949,null,null,,,,,,,,,,
136.6297946,null,29949,null,null,,,,,,,,,,
null,490.02,29951,null,null,,,,,,,,,,
135.6012067,null,29980,null,null,,,,,,,,,,
null,456.14,29982,null,null,,,,,,,,,,
129.1136331,481.82,30010,null,null,,,,,,,,,,
130.2973711,445.9,30041,null,null,,,,,,,,,,
129.8874683,437.7,30071,null,null,,,,,,,,,,
129.0121151,437.33,30102,null,null,,,,,,,,,,
null,449.28,30132,null,null,,,,,,,,,,
128.3417134,null,30133,null,null,,,,,,,,,,
127.9816118,446.48,30163,null,null,,,,,,,,,,
127.7446541,null,30176,720,-480,,,,,,,,,,
127.4165589,438.13,30194,null,null,,,,,,,,,,
127.5697936,460.19,30224,null,null,,,,,,,,,,
